101	254.5
101	258.38
100	260.75
105.33	235.67
105	240.5
105	244.5
105	248.5
105	252.5
105	256.13
104	258.5
109.33	233.67
109	238.5
109	242.5
109	246.5
109	250.5
108.67	254.58
113.21	232.57
113	238
113	242
113	246
113	250
112.5	253.13
117.21	230.57
117	236
117	240
117	244
117	248
116	250.75
121.21	228.57
121	234
121	238
121	242
121	245.75
119.5	247.5
125.21	226.57
125	232
125	236
125	240
125	243.63
123.5	245.5
129.21	224.57
129	230
129	234
129	238
128.7	241.8
133.21	222.57
133	228
133	232
133	236
132.7	239.6
137.21	220.57
137	226
137	230
137	234
136.7	237.3
141.21	218.57
141	224
141	228
141	232
140.5	235.13
145.21	216.57
145	222
145	226
145	230
144	232.75
149.21	214.57
149	220
149	224
149	228
147.5	230
153.21	212.57
153	218
153	222
153	225.88
151.5	228
157.21	210.57
157	216
157	220
157	223.88
155.5	225.5
161.21	208.57
161	214
161	218
161	221.63
159.5	223.5
165.21	206.57
165	212
165	216
165	219.63
163.5	221.5
169.33	203.67
169	208.5
169	212.5
169	216.25
168	218.5
173.33	201.67
173	206.5
173	210.5
173	214.13
172	216.5
177.21	199.57
177	205
177	209
177	212.63
175.5	214.5
181.21	197.57
181	203
181	207
181	210.5
179.5	212.5
185.33	194.67
185	199.5
185	203.5
185	207.13
184	209.5
189.33	192.67
189	197.5
189	201.5
188.9	205.5
187.5	207.5
193.21	190.57
193	196
193	200
193	203.5
191.5	205.5
197.21	188.57
197	194
197	198
196.7	201.8
201.21	186.29
201	191.75
201	195.75
200.7	199.6
205.33	183.67
205	188.5
205	192.5
204.9	196.5
203.5	198.5
209.33	181.33
209	186.25
209	190.25
208.9	194.3
207.5	196.5
213.21	179.57
213	185
213	189
212.7	192.8
217.21	177.57
217	183
217	187
216.7	190.6
221.21	175.57
221	181
221	185
220.7	188.6
225.33	172.67
225	177.5
225	181.5
224.9	185.5
223.5	187.5
229.33	170.67
229	175.5
229	179.5
228.9	183.5
227.5	185.5
233.33	168.67
233	173.5
233	177.5
232.9	181.5
231.5	183.5
237.33	166.67
237	171.5
237	175.5
236.9	179.5
235.5	181.5
241.33	164.67
241	169.5
241	173.5
240.9	177.5
239.5	179.5
245.33	162.67
245	167.5
245	171.5
244.9	175.5
243.5	177.5
249.33	160.67
249	165.5
249	169.5
248.9	173.5
247.5	175.5
253.33	158.67
253	163.5
253	167.5
252.9	171.5
251.5	173.5
257.33	156.67
257	161.5
257	165.5
256.9	169.5
255.5	171.5
261.33	154.67
261	159.5
261	163.5
260.9	167.5
259.5	169.5
265.33	152.67
265	157.5
265	161.5
264.9	165.5
263.5	167.5
269.33	150.67
269	155.5
269	159.5
268.9	163.5
267.5	165.5
273.21	149.57
273	155
273	159
272.7	162.6
277.21	147.57
277	153
277	157
276.7	160.6
281.21	145.57
281	151
281	155
280.7	158.6
285.21	143.57
285	149
285	153
284.7	156.6
289.21	141.57
289	147
289	151
288.7	154.4
293.21	139.57
293	145
293	149
292.7	152.4
297.33	137.67
297	142.5
297	146.5
296.67	150.33
301.3	135.4
301	139.75
301	143.75
300.67	148.08
305.33	134.67
305	139.5
305	143.5
304	146
308.21	99.71
308	105.25
307.7	109.5
309	113
309	132.33
309	137.25
309	141.25
308.7	145
310.1	94.2
311.21	117
312.21	100
312	105.5
312	109.5
312.21	128
313.21	91
313.3	122
313.21	135
313	140.5
313	143.75
315.21	113
315.17	118
316.21	96
316	101.5
316	105.5
316	108.5
316.21	128
317.21	87.29
317	92
317.3	122.4
317.21	135.29
317	140.75
317.17	143.17
319.33	113.33
319	118.25
320.21	97
320	102.5
320	106.5
320	109.5
320.21	129
321.21	84.29
321	89.75
321	93
321.3	123.4
321.21	136.29
320.7	141.9
323.33	114.33
323	119.25
323	144.25
324.21	98
324	103.5
324	107.5
324	110.5
324.21	130
325.21	81.29
325	86.75
325	90.75
325	94
325.3	124.4
325.21	137.29
325.17	142.33
327.33	115.33
327	120.25
327.3	146.2
328.21	99.29
328	104.75
328	108.75
328	112
328.21	131.29
329.21	78.57
329	84
329	88
329	92
327.5	94
329	125.5
329	138.67
329.17	143
331.21	116.71
331	122.25
331.21	148.5
332	103
332	107
332	111
332.21	129.43
332	135
333.33	75.33
333	80.25
333	84.25
333	88
332	90.75
333.3	138.8
333	143.5
335.3	116.4
335	120.75
335	124.75
335.3	148.4
335	153.42
336.33	104.67
336	109.5
335.83	113
336.3	129
336	133.5
337.21	73.29
337	78.75
337	82.75
336.7	86.6
337.3	137.6
337	142.25
337.17	146
339.33	119.33
339	124.25
339.33	151.33
338.67	156.58
340.21	103.29
340	108.75
340	112.75
340	116
